time,zip,county,n_ev,n_bev,n_phev,m_ev,m_bev,m_phev
2017-01-31,99129,Stevens,,,,43,24,20
2017-01-31,99130,Whitman,,,,43,24,20
2017-01-31,99131,Stevens,,,,43,24,20
2017-01-31,99133,Grant,1,1,,43,24,20
2017-01-31,99134,Lincoln,,,,43,24,20
2017-01-31,99135,Grant,,,,43,24,20
2017-01-31,99136,Whitman,,,,43,24,20
2017-01-31,99137,Stevens,,,,43,24,20
2017-01-31,99138,Ferry,,,,43,24,20
2017-01-31,99139,Pend Oreille,,,,43,24,20
2017-01-31,99140,Ferry,,,,43,24,20
2017-01-31,99141,Stevens,5,2,3,43,24,20
2017-01-31,99143,Whitman,,,,43,24,20
2017-01-31,99144,Lincoln,,,,43,24,20
2017-01-31,99146,Ferry,,,,43,24,20
2017-01-31,99147,Lincoln,,,,43,24,20
2017-01-31,99148,Stevens,2,,2,43,24,20
2017-01-31,99149,Whitman,,,,43,24,20
2017-01-31,99150,Ferry,,,,43,24,20
2017-01-31,99151,Stevens,,,,43,24,20
2017-01-31,99152,Pend Oreille,,,,43,24,20
2017-01-31,99153,Pend Oreille,,,,43,24,20
2017-01-31,99154,Lincoln,,,,43,24,20
2017-01-31,99155,Okanogan,,,,43,24,20
2017-01-31,99156,Pend Oreille,4,1,3,43,24,20
2017-01-31,99157,Stevens,,,,43,24,20
2017-01-31,99158,Whitman,,,,43,24,20
2017-01-31,99159,Lincoln,,,,43,24,20
2017-01-31,99160,Ferry,,,,43,24,20
2017-01-31,99161,Whitman,3,2,1,43,24,20
